Hoja1				Identificación	Usuario de correo UV. marctor2															
				Age	Edad en años.															
				Sex	Sexo: Femenino, Masculino															
				Wr.Hnd	Distancia del extremo del meñique al extremo del pulgar de la mano con la que escribimos. (en centímetros)															
				NW.Hnd	Mano con la que escribes: Izquierda, Derecha															
				Fold	Cruza los brazos. Qué brazo está arriba ?: Izquierdo, Derecho															
				Pulse	Cuál es tu ritmo cardíaco, en reposo, en latidos por minuto.															
				Clap	Aplaude. ¿Cómo están las manos ?. 3 casos. 'Der s Izd', (Derecha sobre izquierda) ' Izq s Der', 'Ninguna'															
				Exer	Cuántos días a la semana realizas ejercicio físico. Numérica de 0-7															
				Smoke	Fumas: Si / No															
				Height	Altura (en centímetros)															
				ALG	Calificación numérica obtenida en álgebra. Usa NA para no presentado y NC, para no compensable, si procede															
				ANM	Calificación numérica obtenida en análisis matemático. Usa NA para no presentado y NC, para no compensable, si procede															
				FP	Calificación numérica obtenida en fundamentos de programación. Usa NA para no presentado y NC, para no compensable, si procede															
				DCS	Calificación numérica obtenida en Datos Ciencia y Sociedad. Usa NA para no presentado y NC, para no compensable, si procede															
				MD	Calificación numérica obtenida en Matemática Discreta. Usa NA para no presentado y NC, para no compensable, si procede															
				HSt	Horas de trabajo DIARIAS relacionadas con los estudios, además de la asistencia a clase. 															
				Hwork	¿Tienes un trabajo remunerado además del estudio ?. Indica las horas de trabajo SEMANALES. 0 indica que no tiene otro trabajo.															
																				
																				
				Comentarios	OBLIGATORIO: Campo de texto libre para incluir comentarios que consideres sobre la asignatura. 															
					Vuestos comentarios ayudarán a mejorar y permitirán procesar texto.															
					El primer valor es un ejemplo de registro															
				DEJAD EL MÍNIMO NÚMERO DE HUECOS POSIBLE																
																				
				 ES IMPORTANTE QUE LOS DATOS INCLUIDOS SEAN REALES PARA  PODER OBTENER CONCLUSIONES																
				Completa una fila de esta tabla con tus datos. Los utilizaréis para hacer una autoanálisis.																
		Id	Age	Sex	Wr.Hnd	NW.Hnd	Fold	Pulse	Clap	Exer	Smoke	Height	ALG	ANM	FP	DCS	MD	HSt	Hwork	Comentarios
Registro Ejemplo		martsobm	51	M	22	Derecha	Izquierdo	65	Der s Izq	2	No	178	NP	7	6	4	3,8	5	37,5	Es la primera toma de contactos con el análsis de datos reales. Me resultará de gran utilidad.
		garedemi	20	M	21	Izquierda	Izquierdo	69	Izq s Der	0	No	184	7	NA	NA	NA	6.9	1	0	Otro examen con múltiples respuestas correctas y me corto las venas.
		ismafol	19	M	21	Izquierda	Izquierdo	66	Izq s Der	0	No	179	6.29	5.9		NA	4	4	0	Con ganas de ver como aprender las distintas funcionalidades de R.
		jovianma	19	M	22	Derecha	Derecho	63	Der s Izq	5	No	190	7	8		7	6.5	4	16	La primera vez en el tratamiento de datos
		jomonca7	18	M	20	Izquierda	Derecho	64	Izq s Der	2	No	174	8,78	8,99	9,8	9,27	8,5	4	0	Muy interesante, tengo ganas de empezar a hacer cosas
		dagaral6	18	M	18	Derecha	Derecha	66	Der s Izq	2	No	179	7,29	6,74	NA	8,1	6,4	4	0	Me alegra y me motiva que tenga un enfoque más práctico que DCS
		marana4	18	M	19	Derecha	Izquierdo	60	Der s Izq	2	No	182	8,14	8,78	8,59	9	9,5	3.5	0	
		serpeigd	19	M	18	Derecha	Derecha	54	Der s Izq	5	Si	177	2.26	6	?	6	7	2	0	Asignatura interesante y muy util, habra que ver como va.
		xigargi	19	M	20	Derecha	Derecha	65	Der s Izq	6	No	178	7,7	6			7,2	3	0	Gran asignatura si se aprueba.
		miclar	18	M	20	Derecha	Izquierdo	72	Izq s Der	0	Si	168	2,36	6,68	9,12	8,4	5,7	2	0	A tope con los datos
		pafegon	33	M	22	Derecha	Derecho	80	Der s Izq	2	Si	173	8.10	8.22	8.1	8.1	7.5	4	0	"Si un gato negro se cruza en tu camino, eso significa que el animal va a algún sitio.'"Groucho Marx
		jodiazle	18	M	20	Derecha	Izquierdo	63	Izq s Der	0	No	175	                   6.52	                   7.49		6.3	5.1	4	0	Lo cierto, es que me llama la atención la asignatura. Me gustaría adentrarme en las distintas posibilidades que ofrece R. 
